"fincode","year_end","current_net_profit","prev_net_profit","net_sales_ttm","net_sales_2yr","opm_2yr","opm_2yr_cr","prev_op","current_op","interest_earned_growth_percentage_cons_2year","net_profit_growth_percentage_cons_2year","operating_profit_growth_percentage_cons_2year","profit_after_tax_growth_percentage_cons_2year","profit_before_tax_growth_percentage_cons_2year","eps_growth_percentage_cons_2year","net_sales_growth_percentage_cons_2year","operating_profit_margin_growth_percentage_cons_2year","net_margin_growth_percentage_cons_2year"
126668,202203,"46.583999999999996","-22.67","362.488","144.49","25.35006270399562","7.239205159894949","36.62790000000001","104.965",NULL,NULL,"69.28412970390785",NULL,NULL,NULL,"58.39005932661125","-46.5612952154399",NULL
132850,202103,"0.26","-5.42","22.91","1.09","-151.0782784252547","1.6150152771715414","-1.6463000000000003","1.4800000000000004",NULL,NULL,NULL,NULL,NULL,NULL,"358.4577256831126",NULL,NULL
228049,202203,NULL,"405.54",NULL,"1231.26","46.05902108011744",NULL,"567.1039999999999",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
311155,202203,"111.88199999999999","10.14","1571.377","334.11","5.936707879504753","2.727814521912946","19.835200000000043","171.457",NULL,"232.17055574886353","194.00811546785252","232.17055574886353","221.51982831545553","-71.2909908156994","116.86799228617785","-32.2148473009364","-23.557570530634663"
126500,202203,"-1.8739999999999999","-0.76","2.496","1.74","-39.695314745616564","-9.615384615384615","-0.6905000000000003","-0.96",NULL,"-57.0283246323481","-17.91085133753654","-57.0283246323481","-63.224095228486085","-40.79519412321997","19.769894323268478","50.7831623413465","14.820655672001791"
100096,202203,"1740.42","1742.30","12563.09","10888.68","20.668069958893085","4.61050983476199","2250.4799999999996","2316.8900000000003",NULL,"-0.05396623484833496","1.464735758129443","-0.05396623484833496","-0.23808690731512705","0.6883341862415904","7.413932844573701","-52.76928557073348","-53.642584849534416"
208317,202203,NULL,"-191.90",NULL,"4738.65","44.32009595973878",NULL,"2100.1760000000004",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100112,202303,"79017.16","56558.43",NULL,"350844.58","-13.4348010126208",NULL,"-47135.27119999996",NULL,"18.292128330411984","18.19851914241928",NULL,"18.19851914241928","18.773413058736477","18.058595526223286",NULL,NULL,NULL
132341,202203,"26.051","16.04","186.748","132.43","18.417737718182057","5.340753314627198","24.3908275","39.894999999999996",NULL,"27.441248504747783","27.892762220711376","27.441248504747783","28.77429205470461","23.993608087886287","18.750320427042766","-46.15032118018229","-45.723533222908685"
190066,202203,"280.45","239.14","2846.7400000000002","2108.27","17.90827069438072","3.1486015582736746","377.55520000000024","358.53000000000003",NULL,"8.293305394698148","-2.5520914761983815","8.293305394698148","0.8850258224069707","0.12739294915697918","16.201246664002955","-58.069308190819825","-53.543182347406535"
130407,201203,NULL,"2.70",NULL,"64.90","10.571556862514266",NULL,"6.860629599999996",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100089,200712,NULL,"14.25",NULL,"444.09","7.177872804202785",NULL,"31.875999999999976",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132808,202203,"169.124","70.11","3436.1510000000003","2713.53","5.723292435791191","2.239446112816346","155.3032000000003","307.803",NULL,"55.31472687591021","40.78170544316333","55.31472687591021","49.597455665369154","12.926659223982838","12.530126358092941","-37.44711569305827","-30.859831526906934"
132312,201403,NULL,"63.11",NULL,"1095.45","11.52305995600485",NULL,"126.22962759999996",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
288168,202103,"14.208000000000002","2.35","432.078","104.51","7.588508679347824","1.1204574174107453","7.930499999999995","19.365",NULL,"145.8852872135401","56.263830483035825","145.8852872135401","137.85468315633645","126.73286990398536","103.33032421266233","-61.57450592254674","-39.93367613643313"
200089,202203,"9.723","2.43","470.854","356.41","1.416249851646858","0.8409719360990879","5.047699999999963","15.838999999999999",NULL,"100.0308618164016","77.14019222337241","100.0308618164016","101.74241001832014","97.2257386039446","14.939205735567128","-22.941453502617147","-12.93480363089612"
100470,202203,"3173.7799999999997","41749.32","218542.51","243959.17","26.024826203499547","2.915824019775375","63489.95000000001","25489.260000000002",NULL,"-72.42828971509012","-36.63840209509458","-72.42828971509012","-59.07355411113151","-90.86876917020453","-5.352447104911895","-66.52760902590981","-85.46297249055384"
231440,202203,"194.846","1.48","8073.155000000001","2685.65","7.266689801954988","1.3333108307718602","195.1579999999999","430.56099999999986",NULL,"1047.4001163617804","48.53341463495728","1047.4001163617804","734.0339114478656","954.0875098723537","73.37917755672696","-57.16513596545707","246.9353332809499"
300179,202203,"-2.152","-0.43","0.622","0.03","-8880.654761904761","-358.8826366559486","-2.9839","-8.929",NULL,"-123.71077673618447","-72.98533193456862","-123.71077673618447","-92.39943830388158","-901.2848888160795","355.3387017741116","79.89733062541754","25.32876825177468"
132399,202103,NULL,"-772.40",NULL,"31.86","-59.24245134684731",NULL,"-18.8766",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130213,202203,"5.0520000000000005","1.45","0","2.08","78.74855824682815",NULL,"1.6386","5.235",NULL,"86.65845630548013","78.74004697883146","86.65845630548013","69.26391589480528","-12.020134702083817","-100",NULL,"726.2783531488909"
222083,201503,NULL,"159.99",NULL,"3212.93","8.133524041651032",NULL,"261.3248000000003",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
303322,202203,"147.59","87.07","463.25","200.44","39.00419078028338","9.498111171073933","78.17999999999999","176",NULL,"30.194966485904384","50.04049935061683","30.194966485904384","32.40428906981905","28.64246685900229","52.02517673203708","-50.65274628324179","-54.676088951129856"
132784,202203,"49.113","173.19","3096.946","2561.26","20.802651819807433","2.236219165590876","532.8099999999997","277.01800000000003",NULL,"-46.747889378541544","-27.894596565813266","-46.747889378541544","-43.99251744920394","-47.4574579457061","9.961329704046262","-67.21329051392262","-75.86415385586142"
132457,202203,"17.758000000000003","85.25","1377.976","1100.73","13.638066643990731","1.0536649404634042","150.1178","58.077",NULL,"-54.35955901426418","-37.80062916352948","-54.35955901426418","-50.79110162335974","-58.335909334045","11.887205032347147","-72.20447632724527","-79.67448994603637"
219492,202203,"1317.139","21.78","357.46999999999997","219.43","-34.06237496251725","10.479690603407276","-74.74450000000002","149.84699999999992",NULL,"677.6548177762753",NULL,"677.6548177762753","210.26055829751823","385.833562579976","27.63559245229381",NULL,"62.37581007978854"
227718,201503,NULL,"68.44",NULL,"328.75","36.359393775368154",NULL,"119.53306659999998",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
252373,201603,NULL,"0.03",NULL,"1.39","-59.39026709606902",NULL,"-0.8247096999999999",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132144,202203,"1136","444.17","17339.6","6505.11","7.102416408023839","2.6287659461579276","462.0199999999995","1823.27",NULL,"59.924335397117524","98.65298955539576","59.924335397117524","46.28126189449573","58.86191143026698","63.264670043556784","-39.162284925943304","-49.32439195334488"
